rank,dataset,field,family,question,unique_values,score,top_values_json
29,260306_TFG-Contractor-Index-Q2,q45e,demographic_profile,"Would you say your property’s budget for maintenance, repair and improvements is increasing or decreasing?",6,74.0471,"[[""4"", 161, 132, 0.8198757763975155, 0.4599832070152416], [""__MISSING__"", 825, 172, 0.2084848484848485, -0.15140772089742544], [""2"", 29, 26, 0.896551724137931, 0.5366591547556572], [""3"", 68, 45, 0.6617647058823529, 0.301872136500079], [""5"", 25, 19, 0.76, 0.4001074306177261], [""1"", 9, 8, 0.8888888888888888, 0.528996319506615]]"
30,260306_TFG-Contractor-Index-Q2,q39b,demographic_profile,How far out is your company booked with work?,8,72.5803,"[[""__MISSING__"", 292, 230, 0.7876712328767124, 0.42777866349443844], [""3"", 164, 32, 0.1951219512195122, -0.16477061816276173], [""4"", 190, 43, 0.22631578947368422, -0.1335767799085897], [""2"", 150, 32, 0.21333333333333335, -0.14655923604894058], [""6"", 90, 17, 0.18888888888888888, -0.17100368049338505], [""5"", 128, 29, 0.2265625, -0.13333006938227393]]"
31,260306_TFG-Contractor-Index-Q2,possibleCLASSIFYr5,quota_classification,,2,72.347,"[[""1"", 292, 230, 0.7876712328767124, 0.42777866349443844], [""0"", 825, 172, 0.2084848484848485, -0.15140772089742544]]"
32,260300_ECHO,q19_2026othr1,brand_funnel_ad,,244,65.2839,"[[""Ryobi"", 13, 8, 0.6153846153846154, 0.2622556243245899], [""Worx"", 7, 0, 0.0, -0.35312899106002554], [""John Deere"", 20, 4, 0.2, -0.15312899106002553], [""Black and decker"", 7, 1, 0.14285714285714285, -0.2102718482028827], [""Craftsman"", 11, 3, 0.2727272727272727, -0.08040171833275284], [""Honda"", 17, 7, 0.4117647058823529, 0.05863571482232738]]"
33,260401_-OC-CAN,vlist,fielding_technical,Participant source,3,61.5855,"[[""15"", 190, 160, 0.8421052631578947, 0.4585251824041935], [""3"", 121, 0, 0.0, -0.3835800807537012], [""1"", 432, 125, 0.28935185185185186, -0.09422822890184934]]"
34,260401_-OC-CAN,list,fielding_technical,Captured variable,3,61.5855,"[[""18"", 190, 160, 0.8421052631578947, 0.4585251824041935], [""7"", 121, 0, 0.0, -0.3835800807537012], [""139"", 432, 125, 0.28935185185185186, -0.09422822890184934]]"
35,260300_ECHO,q17r3,brand_funnel_ad,,215,61.0377,"[[""__MISSING__"", 970, 397, 0.4092783505154639, 0.056149359455438363], [""John Deere"", 27, 1, 0.037037037037037035, -0.3160919540229885], [""Milwaukee"", 23, 1, 0.043478260869565216, -0.3096507301904603], [""EGO"", 11, 8, 0.7272727272727273, 0.37414373621270175], [""Stihl"", 21, 2, 0.09523809523809523, -0.2578908958219303], [""Husqvarna"", 19, 3, 0.15789473684210525, -0.1952342542179203]]"
36,260300_ECHO,q11othr1,ownership_use_product,,172,57.1791,"[[""2"", 13, 13, 1.0, 0.6468710089399745], [""1"", 9, 9, 1.0, 0.6468710089399745], [""4"", 7, 7, 1.0, 0.6468710089399745], [""Generator"", 7, 1, 0.14285714285714285, -0.2102718482028827], [""None"", 12, 3, 0.25, -0.10312899106002554], [""__MISSING__"", 1294, 445, 0.34389489953632146, -0.00923409152370408]]"
37,260300_ECHO,q19_2026r13,brand_funnel_ad,,36,55.5318,"[[""__MISSING__"", 1031, 236, 0.2289039767216295, -0.12422501433839606], [""0"", 244, 137, 0.5614754098360656, 0.20834641877604004], [""10"", 69, 47, 0.6811594202898551, 0.32803042922982956], [""5"", 94, 54, 0.574468085106383, 0.2213390940463575], [""7"", 8, 8, 1.0, 0.6468710089399745], [""20"", 15, 9, 0.6, 0.24687100893997443]]"
38,251205_TFG-Contractor-Index-Q1,SUPNAME,fielding_technical,Captured variable,22,52.7092,"[[""MIRATSINSIGHTSPRIVATELIMITED-FEED"", 77, 68, 0.8831168831168831, 0.7726385232079993], [""PrimeInsightsGroupLLC-API"", 406, 13, 0.03201970443349754, -0.07845865547538629], [""__MISSING__"", 157, 4, 0.025477707006369428, -0.0850006529025144], [""SocialLoop-API"", 88, 3, 0.03409090909090909, -0.07638745081797474], [""BrandedResearch"", 37, 0, 0.0, -0.11047835990888383], [""Qmee"", 20, 0, 0.0, -0.11047835990888383]]"
