rank,dataset,field,family,question,unique_values,score,top_values_json
1839,260206_OC-BH,q134_Lr6r10,ownership_use_product,,7,1.9931,"[[""99"", 29, 0, 0.0, -0.1732902033271719], [""3"", 50, 4, 0.08, -0.0932902033271719], [""__MISSING__"", 1902, 347, 0.18243953732912724, 0.009149334001955334], [""5"", 95, 13, 0.1368421052631579, -0.036448098064014], [""4"", 77, 11, 0.14285714285714285, -0.030433060470029055]]"
1840,260206_OC-BH,q103_Lr6r13,ownership_use_product,,6,1.9917,"[[""5"", 68, 18, 0.2647058823529412, 0.09141567902576928], [""4"", 58, 14, 0.2413793103448276, 0.06808910701765569], [""3"", 22, 6, 0.2727272727272727, 0.0994370694001008], [""__MISSING__"", 2009, 336, 0.1672473867595819, -0.006042816567590009]]"
1841,260206_OC-BH,q103_Lr8r13,ownership_use_product,,6,1.9911,"[[""5"", 30, 10, 0.3333333333333333, 0.1600431300061614], [""4"", 26, 8, 0.3076923076923077, 0.1344021043651358], [""3"", 16, 5, 0.3125, 0.1392097966728281], [""__MISSING__"", 2084, 351, 0.16842610364683303, -0.004864099680338879]]"
1842,260206_OC-BH,q54r8,demographic_profile,,3,1.9897,"[[""0"", 221, 19, 0.08597285067873303, -0.08731735264843887], [""1"", 97, 21, 0.21649484536082475, 0.043204642033652846], [""__MISSING__"", 1846, 335, 0.18147345612134344, 0.008183252794171536]]"
1843,260206_OC-BH,q124r5,ownership_use_product,,19,1.9879,"[[""25"", 10, 0, 0.0, -0.1732902033271719], [""50"", 14, 3, 0.21428571428571427, 0.04099551095854237], [""__MISSING__"", 2088, 365, 0.17480842911877395, 0.0015182257916020458]]"
1844,260404_ADDO,q12r5,ownership_use_product,,2,1.986,"[[""1"", 508, 109, 0.21456692913385828, -0.04944487027617123], [""0"", 848, 249, 0.2936320754716981, 0.029620276061668616]]"
1845,260404_ADDO,q3r2,demographic_profile,,3,1.9854,"[[""1"", 69, 28, 0.4057971014492754, 0.1417853020392459], [""2"", 620, 146, 0.23548387096774193, -0.028527928442287576], [""3"", 667, 184, 0.27586206896551724, 0.011850269555487736]]"
1846,260200_SBD,q35_Lr2,matrix_attributes,How believable would it be for DEWALT Batteries to be used in products in the Escooters category?,5,1.9852,"[[""5"", 10, 1, 0.1, -0.34472681067344346], [""3"", 6, 3, 0.5, 0.05527318932655656], [""__MISSING__"", 765, 343, 0.44836601307189544, 0.0036392023984520017]]"
1847,260300_ECHO,q23_2026_Lr6r8,brand_funnel_ad,,10,1.9844,"[[""5"", 9, 5, 0.5555555555555556, 0.20242656449553004], [""7"", 35, 9, 0.2571428571428571, -0.09598613391716843], [""10"", 93, 30, 0.3225806451612903, -0.03054834589873523], [""8"", 75, 24, 0.32, -0.03312899106002554], [""__MISSING__"", 1254, 451, 0.35964912280701755, 0.006520131746992008], [""6"", 13, 4, 0.3076923076923077, -0.045436683367717834]]"
1848,260111_Delta-Water-Filtration,q5r5c1,demographic_profile,,2,1.9817,"[[""1"", 524, 160, 0.3053435114503817, 0.04813730302466107], [""0"", 829, 188, 0.22677925211097708, -0.030426956314743542]]"
1849,260404_ADDO,age,demographic_profile,"this is a dummy question that will hold age breaks"" for the quotas that should be defined by the PM; it CAN be edited and lines can be added to meet survey objectives.",2,1.9815,"[[""2"", 609, 135, 0.22167487684729065, -0.042336922562738855], [""1"", 747, 223, 0.29852744310575635, 0.03451564369572685]]"
1850,260200_SBD,q23_Lr10,brand_funnel_ad,"How believable would it be for [pipe: BRAND2RATE] to offer products in the Marine Products (Trolling Motors, Boat Bilge Pumps) category?",6,1.9785,"[[""4"", 21, 14, 0.6666666666666666, 0.2219398559932232], [""5"", 16, 10, 0.625, 0.18027318932655656], [""3"", 12, 4, 0.3333333333333333, -0.11139347734011013], [""__MISSING__"", 734, 321, 0.4373297002724796, -0.007397110400963858]]"
1851,260300_ECHO,q23_2026_Lr14r11,brand_funnel_ad,,5,1.9776,"[[""__MISSING__"", 1556, 546, 0.3508997429305913, -0.002229248129434258]]"
1852,260300_ECHO,q23_2026_Lr14r12,brand_funnel_ad,,6,1.9776,"[[""__MISSING__"", 1556, 546, 0.3508997429305913, -0.002229248129434258]]"
1853,260206_OC-BH,q91r5,demographic_profile,,3,1.9747,"[[""1"", 295, 68, 0.2305084745762712, 0.057218271249099284], [""__MISSING__"", 1547, 239, 0.15449256625727215, -0.01879763706989976], [""0"", 322, 68, 0.2111801242236025, 0.03788992089643059]]"
1854,260300_ECHO,q11br13c3,ownership_use_product,,2,1.9733,"[[""1"", 311, 132, 0.42443729903536975, 0.07130830797534421], [""0"", 1255, 421, 0.3354581673306773, -0.01767082372934825]]"
1855,260300_ECHO,q24_2026_Lr17,brand_funnel_ad,How likely are you to recommend Ariens to ?,6,1.9721,"[[""10"", 7, 5, 0.7142857142857143, 0.36115672322568876], [""9"", 7, 4, 0.5714285714285714, 0.21829958036854585], [""8"", 10, 5, 0.5, 0.14687100893997446], [""__MISSING__"", 1538, 539, 0.3504551365409623, -0.002673854519063268]]"
1856,260206_OC-BH,q121r6,ownership_use_product,,17,1.9708,"[[""__MISSING__"", 2147, 372, 0.17326502095947835, -2.5182367693554752e-05]]"
1857,260300_ECHO,q23_2026_Lr2r10,brand_funnel_ad,,9,1.968,"[[""10"", 66, 17, 0.25757575757575757, -0.09555323348426797], [""6"", 12, 2, 0.16666666666666666, -0.18646232439335889], [""7"", 25, 6, 0.24, -0.11312899106002555], [""__MISSING__"", 1376, 499, 0.3626453488372093, 0.009516357777183737], [""8"", 39, 12, 0.3076923076923077, -0.045436683367717834], [""9"", 41, 16, 0.3902439024390244, 0.03711491137899886]]"
1858,260300_ECHO,q23_2026_Lr10r3,brand_funnel_ad,,9,1.9639,"[[""5"", 8, 5, 0.625, 0.27187100893997446], [""10"", 134, 39, 0.291044776119403, -0.06208421494062255], [""6"", 17, 8, 0.47058823529411764, 0.1174592442340921], [""9"", 78, 31, 0.3974358974358974, 0.04430690637587187], [""7"", 30, 9, 0.3, -0.053128991060025554], [""__MISSING__"", 1225, 436, 0.35591836734693877, 0.0027893762869132255]]"
1859,260206_OC-BH,q68r13,demographic_profile,,6,1.9637,"[[""99"", 27, 0, 0.0, -0.1732902033271719], [""3"", 55, 3, 0.05454545454545454, -0.11874474878171737], [""__MISSING__"", 1921, 350, 0.18219677251431546, 0.008906569187143554], [""5"", 69, 9, 0.13043478260869565, -0.042855420718476256], [""4"", 86, 12, 0.13953488372093023, -0.033755319606241674]]"
1860,260401_-OC-CAN,q29r8,brand_funnel_ad,,3,1.9627,"[[""0"", 27, 4, 0.14814814814814814, -0.23543193260555306], [""1"", 26, 7, 0.2692307692307692, -0.11434931152293198], [""__MISSING__"", 690, 274, 0.39710144927536234, 0.013521368521661137]]"
1861,260404_ADDO,q30,switching_loyalty,"Thinking about the loyalty programs at convenience stores / gas stations, which is most important to you?",7,1.9608,"[[""3"", 38, 16, 0.42105263157894735, 0.15704083216891784], [""1"", 20, 2, 0.1, -0.1640117994100295], [""6"", 11, 1, 0.09090909090909091, -0.1731027085009386], [""2"", 48, 11, 0.22916666666666666, -0.034845132743362844], [""4"", 72, 17, 0.2361111111111111, -0.027900688298918397], [""5"", 22, 5, 0.22727272727272727, -0.03673907213730224]]"
1862,260306_TFG-Contractor-Index-Q2,possibleCLASSIFYr6,quota_classification,,2,1.958,"[[""1"", 29, 3, 0.10344827586206896, -0.256444293520205], [""0"", 1088, 399, 0.36672794117647056, 0.006835371794196632]]"
1863,260404_ADDO,q32_Lr7r18,switching_loyalty,,7,1.9578,"[[""6"", 7, 0, 0.0, -0.2640117994100295], [""4"", 50, 10, 0.2, -0.06401179941002949], [""3"", 26, 8, 0.3076923076923077, 0.04368050828227821], [""5"", 42, 12, 0.2857142857142857, 0.021702486304256197], [""__MISSING__"", 1227, 325, 0.26487367563162184, 0.0008618762215923392]]"
1864,260206_OC-BH,q103_Lr6r3,ownership_use_product,,6,1.9568,"[[""3"", 15, 7, 0.4666666666666667, 0.29337646333949474], [""5"", 66, 17, 0.25757575757575757, 0.08428555424858566], [""__MISSING__"", 2009, 336, 0.1672473867595819, -0.006042816567590009], [""4"", 65, 13, 0.2, 0.026709796672828107]]"
1865,260206_OC-BH,q103_Lr6r9,ownership_use_product,,6,1.9562,"[[""5"", 60, 20, 0.3333333333333333, 0.1600431300061614], [""4"", 63, 14, 0.2222222222222222, 0.048932018895050305], [""__MISSING__"", 2009, 336, 0.1672473867595819, -0.006042816567590009], [""3"", 19, 4, 0.21052631578947367, 0.03723611246230177]]"
1866,260404_ADDO,q32_Lr2r19,switching_loyalty,,7,1.9558,"[[""5"", 27, 12, 0.4444444444444444, 0.18043264503441492], [""6"", 28, 3, 0.10714285714285714, -0.15686894226717235], [""4"", 49, 9, 0.1836734693877551, -0.08033833002227439], [""1"", 6, 1, 0.16666666666666666, -0.09734513274336284], [""__MISSING__"", 1223, 327, 0.26737530662305803, 0.003363507213028527], [""3"", 19, 5, 0.2631578947368421, -0.0008539046731874111]]"
1867,260404_ADDO,SCRUTINYFLAGS,other,,3,1.9536,"[[""1"", 57, 5, 0.08771929824561403, -0.17629250116441547], [""0"", 1297, 352, 0.27139552814186585, 0.007383728731836348]]"
1868,260206_OC-BH,q35r3,matrix_attributes,,5,1.9531,"[[""4"", 55, 18, 0.32727272727272727, 0.15398252394555537], [""5"", 58, 15, 0.25862068965517243, 0.08533048632800053], [""__MISSING__"", 2046, 341, 0.16666666666666666, -0.006623536660505247]]"
1869,260300_ECHO,q23_2026_Lr6r6,brand_funnel_ad,,10,1.9527,"[[""10"", 90, 24, 0.26666666666666666, -0.08646232439335888], [""8"", 78, 23, 0.2948717948717949, -0.058257196188230664], [""6"", 12, 6, 0.5, 0.14687100893997446], [""9"", 74, 30, 0.40540540540540543, 0.052276414345379885], [""__MISSING__"", 1254, 451, 0.35964912280701755, 0.006520131746992008], [""5"", 11, 4, 0.36363636363636365, 0.010507372576338103]]"
1870,260300_ECHO,q11br9c3,ownership_use_product,,2,1.9526,"[[""1"", 210, 93, 0.44285714285714284, 0.0897281517971173], [""0"", 1356, 460, 0.3392330383480826, -0.013895952711942938]]"
1871,260111_Delta-Water-Filtration,age,demographic_profile,"this is a dummy question that will hold age breaks"" for the quotas that should be defined by the PM; it CAN be edited and lines can be added to meet survey objectives.",4,1.951,"[[""2"", 712, 205, 0.28792134831460675, 0.030715139888886134], [""4"", 49, 7, 0.14285714285714285, -0.11434906556857777], [""3"", 459, 101, 0.22004357298474944, -0.037162635440971176], [""1"", 133, 35, 0.2631578947368421, 0.0059516863111214735]]"
1872,260200_SBD,age,demographic_profile,"this is a dummy question that will hold age breaks"" for the quotas that should be defined by the PM; it CAN be edited and lines can be added to meet survey objectives.",2,1.9481,"[[""1"", 321, 162, 0.5046728971962616, 0.05994608652281819], [""2"", 466, 188, 0.4034334763948498, -0.04129333427859366]]"
1873,260403_Masterlock-Conjoint,q10_Lr10,ownership_use_product,[lockl.PNG]What type of security performance best describes the keyed padlock from the image?,4,1.9477,"[[""1"", 76, 27, 0.35526315789473684, 0.1303723282004137], [""3"", 196, 33, 0.1683673469387755, -0.05652348275554764], [""2"", 140, 30, 0.21428571428571427, -0.010605115408608867], [""__MISSING__"", 504, 116, 0.23015873015873015, 0.005267900464407005]]"
1874,260404_ADDO,q8r1,demographic_profile,,11,1.9469,"[[""8"", 104, 21, 0.20192307692307693, -0.062088722486952574], [""10"", 165, 51, 0.3090909090909091, 0.04507910968087958], [""9"", 75, 16, 0.21333333333333335, -0.050678466076696155], [""2"", 7, 3, 0.42857142857142855, 0.16455962916139905], [""5"", 36, 7, 0.19444444444444445, -0.06956735496558505], [""__MISSING__"", 833, 225, 0.27010804321728693, 0.006096243807257429]]"
1875,260206_OC-BH,q92r7,demographic_profile,,7,1.9463,"[[""5"", 19, 7, 0.3684210526315789, 0.19513084930440702], [""6"", 13, 4, 0.3076923076923077, 0.1344021043651358], [""__MISSING__"", 2107, 360, 0.170859041290935, -0.002431162036236917]]"
1876,260300_ECHO,q23_2026_Lr2r14,brand_funnel_ad,,8,1.9461,"[[""10"", 67, 15, 0.22388059701492538, -0.12924839404510016], [""8"", 46, 12, 0.2608695652173913, -0.09225942584263425], [""__MISSING__"", 1376, 499, 0.3626453488372093, 0.009516357777183737], [""9"", 36, 14, 0.3888888888888889, 0.03575989782886335], [""7"", 18, 6, 0.3333333333333333, -0.01979565772669223], [""6"", 15, 5, 0.3333333333333333, -0.01979565772669223]]"
1877,260401_-OC-CAN,q30r9,switching_loyalty,,7,1.9434,"[[""6"", 43, 23, 0.5348837209302325, 0.1513036401765313], [""5"", 53, 26, 0.49056603773584906, 0.10698595698214786], [""__MISSING__"", 607, 223, 0.3673805601317957, -0.016199520621905494], [""2"", 13, 4, 0.3076923076923077, -0.0758877730613935], [""4"", 18, 6, 0.3333333333333333, -0.05024674742036789], [""1"", 5, 2, 0.4, 0.01641991924629882]]"
1878,251101_THD-CX,qRoler1,other,,2,1.9399,"[[""0"", 555, 62, 0.11171171171171171, 0.04976945449386394], [""1"", 1350, 56, 0.04148148148148148, -0.020460775736366288]]"
1879,260206_OC-BH,q28r8,brand_funnel_ad,,6,1.9354,"[[""5"", 211, 52, 0.24644549763033174, 0.07315529430315984], [""1"", 33, 2, 0.06060606060606061, -0.1126841427211113], [""2"", 61, 7, 0.11475409836065574, -0.058536104966516164], [""3"", 176, 26, 0.14772727272727273, -0.02556293059989917], [""4"", 266, 42, 0.15789473684210525, -0.01539546648506665], [""__MISSING__"", 1417, 246, 0.17360621030345802, 0.00031600697628611507]]"
1880,260200_SBD,q39_Lr11,demographic_profile,How does the idea of the Outdoor Lanterns category being powered by DEWALT batteries affect your trust in the products?,6,1.9299,"[[""5"", 24, 6, 0.25, -0.19472681067344344], [""4"", 28, 9, 0.32142857142857145, -0.12329823924487199], [""__MISSING__"", 720, 328, 0.45555555555555555, 0.010828744882112107], [""3"", 13, 6, 0.46153846153846156, 0.016811650865018124]]"
1881,260206_OC-BH,q103_Lr7r3,ownership_use_product,,5,1.9264,"[[""5"", 68, 20, 0.29411764705882354, 0.12082744373165163], [""3"", 16, 6, 0.375, 0.2017097966728281], [""4"", 54, 12, 0.2222222222222222, 0.048932018895050305], [""__MISSING__"", 2024, 337, 0.166501976284585, -0.006788227042586914]]"
1882,260206_OC-BH,q134_Lr5r1,ownership_use_product,,6,1.9236,"[[""5"", 149, 15, 0.10067114093959731, -0.0726190623875746], [""4"", 79, 8, 0.10126582278481013, -0.07202438054236178], [""99"", 10, 0, 0.0, -0.1732902033271719], [""__MISSING__"", 1896, 349, 0.1840717299578059, 0.010781526630634003], [""3"", 26, 3, 0.11538461538461539, -0.05790558794255651]]"
1883,260206_OC-BH,q91r8,demographic_profile,,3,1.9233,"[[""0"", 435, 95, 0.21839080459770116, 0.045100601270529256], [""__MISSING__"", 1547, 239, 0.15449256625727215, -0.01879763706989976], [""1"", 182, 41, 0.22527472527472528, 0.051984521947553375]]"
1884,251101_THD-CX,prewave2MDr7,other,,4,1.9222,"[[""1"", 349, 43, 0.12320916905444126, 0.061266911836593496], [""3"", 112, 1, 0.008928571428571428, -0.053013685789276344], [""2"", 499, 19, 0.03807615230460922, -0.023866104913238546], [""__MISSING__"", 945, 55, 0.0582010582010582, -0.0037411990167895703]]"
1885,260300_ECHO,q23r3,brand_funnel_ad,,2,1.9218,"[[""1"", 411, 121, 0.2944038929440389, -0.05872509811598664], [""0"", 1155, 432, 0.37402597402597404, 0.020896982965948496]]"
1886,260206_OC-BH,q66r4,demographic_profile,,16,1.9213,"[[""5"", 13, 1, 0.07692307692307693, -0.09636712640409498], [""30"", 11, 3, 0.2727272727272727, 0.0994370694001008], [""10"", 11, 1, 0.09090909090909091, -0.08238111241808099], [""20"", 18, 3, 0.16666666666666666, -0.006623536660505247], [""__MISSING__"", 2082, 361, 0.1733909702209414, 0.00010076689376950498]]"
1887,260206_OC-BH,q37r11,matrix_attributes,,3,1.9206,"[[""1"", 82, 26, 0.3170731707317073, 0.14378296740453542], [""0"", 665, 103, 0.1548872180451128, -0.01840298528205911], [""__MISSING__"", 1417, 246, 0.17360621030345802, 0.00031600697628611507]]"
1888,260300_ECHO,q16_2026r3,brand_funnel_ad,,2,1.9204,"[[""1"", 190, 85, 0.4473684210526316, 0.09423942999260604], [""0"", 1376, 468, 0.34011627906976744, -0.013012711990258108]]"
1889,260206_OC-BH,q68r12,demographic_profile,,6,1.9194,"[[""4"", 90, 7, 0.07777777777777778, -0.09551242554939413], [""5"", 124, 12, 0.0967741935483871, -0.07651600977878481], [""__MISSING__"", 1921, 350, 0.18219677251431546, 0.008906569187143554], [""3"", 21, 4, 0.19047619047619047, 0.01718598714901856]]"
1890,260206_OC-BH,q103_Lr7r17,ownership_use_product,,5,1.9176,"[[""5"", 19, 9, 0.47368421052631576, 0.3003940071991439], [""3"", 11, 1, 0.09090909090909091, -0.08238111241808099], [""__MISSING__"", 2113, 362, 0.17132039753904402, -0.0019698057881278874], [""4"", 17, 3, 0.17647058823529413, 0.0031803849081222246]]"
1891,260206_OC-BH,conditionsCatalyst,fielding_technical,,2,1.9172,"[[""1"", 617, 136, 0.22042139384116693, 0.04713119051399503], [""0"", 1547, 239, 0.15449256625727215, -0.01879763706989976]]"
1892,260300_ECHO,q23_2026_Lr17r2,brand_funnel_ad,,7,1.915,"[[""10"", 9, 6, 0.6666666666666666, 0.3135376756066411], [""8"", 8, 4, 0.5, 0.14687100893997446], [""__MISSING__"", 1538, 539, 0.3504551365409623, -0.002673854519063268]]"
1893,260206_OC-BH,q146,channel_supplier,Which of the following best describes the area in which you live?,4,1.908,"[[""3"", 492, 110, 0.22357723577235772, 0.050287032445185814], [""1"", 222, 29, 0.13063063063063063, -0.042659572696541276], [""__MISSING__"", 902, 141, 0.15631929046563192, -0.016970912861539983], [""2"", 548, 95, 0.17335766423357665, 6.746090640474822e-05]]"
1894,260200_SBD,q26_Lr7,other,How likely would you be to consider purchasing a [pipe: BRAND2RATE] product in the Warehouse Floor Robots category?,10,1.9078,"[[""9"", 7, 5, 0.7142857142857143, 0.26955890361227086], [""10"", 19, 11, 0.5789473684210527, 0.13422055774760921], [""8"", 10, 4, 0.4, -0.04472681067344342], [""__MISSING__"", 734, 325, 0.4427792915531335, -0.0019475191203099373], [""6"", 7, 3, 0.42857142857142855, -0.016155382102014892]]"
1895,260404_ADDO,q32_Lr5r12,switching_loyalty,,6,1.9049,"[[""4"", 35, 16, 0.45714285714285713, 0.19313105773282763], [""3"", 11, 5, 0.45454545454545453, 0.19053365513542503], [""__MISSING__"", 1286, 331, 0.2573872472783826, -0.006624552131646921], [""5"", 18, 5, 0.2777777777777778, 0.013765978367748288]]"
1896,260206_OC-BH,q134_Lr2r11,ownership_use_product,,7,1.9041,"[[""5"", 31, 12, 0.3870967741935484, 0.21380657086637647], [""4"", 25, 2, 0.08, -0.0932902033271719], [""__MISSING__"", 2092, 359, 0.17160611854684513, -0.0016840847803267778]]"
1897,260206_OC-BH,q47r8,demographic_profile,,7,1.8975,"[[""4"", 140, 15, 0.10714285714285714, -0.06614734618431477], [""5"", 109, 27, 0.24770642201834864, 0.07441621869117673], [""3"", 55, 4, 0.07272727272727272, -0.10056293059989918], [""__MISSING__"", 1838, 326, 0.17736670293797607, 0.0040764996108041684], [""99"", 19, 3, 0.15789473684210525, -0.01539546648506665]]"
1898,260300_ECHO,q23_2026_Lr14r8,brand_funnel_ad,,6,1.8943,"[[""__MISSING__"", 1556, 546, 0.3508997429305913, -0.002229248129434258]]"
1899,260300_ECHO,q21r2,channel_supplier,,4,1.8937,"[[""2"", 224, 62, 0.2767857142857143, -0.07634327677431124], [""3"", 160, 63, 0.39375, 0.040621008939974446], [""__MISSING__"", 977, 360, 0.368474923234391, 0.015345932174365473], [""1"", 205, 68, 0.33170731707317075, -0.021421673986854795]]"
1900,260206_OC-BH,q65r6,demographic_profile,,7,1.893,"[[""6"", 17, 7, 0.4117647058823529, 0.23847450255518102], [""5"", 63, 7, 0.1111111111111111, -0.0621790922160608], [""2"", 17, 1, 0.058823529411764705, -0.1144666739154072], [""__MISSING__"", 2052, 360, 0.17543859649122806, 0.002148393164056156]]"
1901,260404_ADDO,q12r15,ownership_use_product,,2,1.8921,"[[""1"", 572, 126, 0.2202797202797203, -0.043732079130309215], [""0"", 784, 232, 0.29591836734693877, 0.03190656793690927]]"
1902,260200_SBD,q35_Lr6,matrix_attributes,How believable would it be for DEWALT Batteries to be used in products in the Safety - Digital Signs category?,5,1.8917,"[[""5"", 22, 15, 0.6818181818181818, 0.23709137114473833], [""4"", 19, 6, 0.3157894736842105, -0.12893733698923293], [""3"", 17, 9, 0.5294117647058824, 0.08468495403243892], [""__MISSING__"", 728, 320, 0.43956043956043955, -0.005166371113003887]]"
1903,260206_OC-BH,q35r1,matrix_attributes,,6,1.8894,"[[""5"", 290, 65, 0.22413793103448276, 0.05084772770731086], [""4"", 119, 27, 0.226890756302521, 0.0536005529753491], [""3"", 20, 6, 0.3, 0.12670979667282808], [""__MISSING__"", 1716, 275, 0.16025641025641027, -0.013033793070761635], [""2"", 13, 2, 0.15384615384615385, -0.01944404948101805]]"
1904,260206_OC-BH,q113r8,ownership_use_product,,6,1.8862,"[[""1"", 40, 1, 0.025, -0.1482902033271719], [""4"", 149, 17, 0.11409395973154363, -0.05919624359562828], [""3"", 95, 12, 0.12631578947368421, -0.04697441385348769], [""5"", 167, 34, 0.20359281437125748, 0.030302611044085576], [""__MISSING__"", 1682, 305, 0.1813317479191439, 0.008041544591971983], [""2"", 31, 6, 0.1935483870967742, 0.020258183769602284]]"
1905,260111_Delta-Water-Filtration,q21r19,channel_supplier,,8,1.8835,"[[""6"", 206, 65, 0.3155339805825243, 0.05832777215680368], [""3"", 15, 1, 0.06666666666666667, -0.19053954175905397], [""5"", 195, 44, 0.22564102564102564, -0.03156518278469497], [""1"", 7, 1, 0.14285714285714285, -0.11434906556857777], [""4"", 58, 17, 0.29310344827586204, 0.03589723985014143], [""__MISSING__"", 672, 170, 0.25297619047619047, -0.0042300179495301515]]"
1906,260206_OC-BH,q103_Lr2r6,ownership_use_product,,7,1.8805,"[[""5"", 80, 24, 0.3, 0.12670979667282808], [""99"", 12, 0, 0.0, -0.1732902033271719], [""4"", 76, 10, 0.13157894736842105, -0.04171125595875086], [""3"", 36, 5, 0.1388888888888889, -0.03440131443828301], [""__MISSING__"", 1955, 335, 0.17135549872122763, -0.0019347046059442763]]"
1907,260206_OC-BH,q113r3,ownership_use_product,,6,1.8801,"[[""5"", 353, 43, 0.12181303116147309, -0.05147717216569882], [""3"", 32, 10, 0.3125, 0.1392097966728281], [""__MISSING__"", 1682, 305, 0.1813317479191439, 0.008041544591971983], [""4"", 89, 15, 0.16853932584269662, -0.00475087748447528]]"
1908,260206_OC-BH,q84r7,demographic_profile,,3,1.8797,"[[""1"", 75, 21, 0.28, 0.10670979667282812], [""0"", 450, 95, 0.2111111111111111, 0.037820907783939206], [""__MISSING__"", 1639, 259, 0.15802318486882244, -0.015267018458349463]]"
1909,260206_OC-BH,q104_Lr2,ownership_use_product,ow likely are you to recommend Homeland Vinyl Products to ?,9,1.8793,"[[""5"", 13, 0, 0.0, -0.1732902033271719], [""8"", 50, 13, 0.26, 0.0867097966728281], [""7"", 39, 4, 0.10256410256410256, -0.07072610076306934], [""6"", 11, 3, 0.2727272727272727, 0.0994370694001008], [""10"", 57, 12, 0.21052631578947367, 0.03723611246230177], [""9"", 37, 7, 0.1891891891891892, 0.015898985862017295]]"
1910,260200_SBD,q24_Lr10,brand_funnel_ad,"If [pipe: BRAND2RATE] were to offer products in the Marine Products (Trolling Motors, Boat Bilge Pumps) category, what impact would that have on the overall strength of the [pipe: BRAND2RATE] brand?",5,1.8792,"[[""5"", 22, 14, 0.6363636363636364, 0.1916368256901929], [""3"", 5, 4, 0.8, 0.3552731893265566], [""__MISSING__"", 734, 321, 0.4373297002724796, -0.007397110400963858], [""4"", 24, 11, 0.4583333333333333, 0.013606522659889875]]"
1911,260300_ECHO,q23_2026_Lr6r9,brand_funnel_ad,,9,1.8782,"[[""7"", 61, 15, 0.2459016393442623, -0.10722735171576325], [""10"", 74, 20, 0.2702702702702703, -0.08285872078975526], [""5"", 14, 3, 0.21428571428571427, -0.13884327677431127], [""9"", 60, 24, 0.4, 0.04687100893997448], [""6"", 24, 10, 0.4166666666666667, 0.06353767560664114], [""__MISSING__"", 1254, 451, 0.35964912280701755, 0.006520131746992008]]"
1912,260404_ADDO,q32_Lr5r16,switching_loyalty,,7,1.8769,"[[""4"", 32, 13, 0.40625, 0.1422382005899705], [""5"", 24, 10, 0.4166666666666667, 0.15265486725663718], [""__MISSING__"", 1286, 331, 0.2573872472783826, -0.006624552131646921], [""3"", 8, 2, 0.25, -0.014011799410029502]]"
1913,251101_THD-CX,qRoler3,other,,2,1.8763,"[[""1"", 375, 47, 0.12533333333333332, 0.06339107611548556], [""0"", 1530, 71, 0.046405228758169936, -0.015537028459677832]]"
1914,260206_OC-BH,q103_Lr4r10,ownership_use_product,,7,1.8761,"[[""5"", 40, 14, 0.35, 0.17670979667282807], [""3"", 14, 5, 0.35714285714285715, 0.18385265381568525], [""4"", 35, 5, 0.14285714285714285, -0.030433060470029055], [""__MISSING__"", 2072, 351, 0.1694015444015444, -0.0038886589256275084]]"
1915,260206_OC-BH,q88r13,demographic_profile,,6,1.8748,"[[""5"", 73, 21, 0.2876712328767123, 0.11438102954954041], [""3"", 56, 5, 0.08928571428571429, -0.08400448904145762], [""2"", 24, 2, 0.08333333333333333, -0.08995686999383858], [""__MISSING__"", 1927, 331, 0.1717695900363259, -0.001520613290846018], [""4"", 76, 13, 0.17105263157894737, -0.0022375717482245316]]"
1916,260206_OC-BH,q72r2,demographic_profile,,3,1.8734,"[[""1"", 175, 13, 0.07428571428571429, -0.09900448904145762], [""__MISSING__"", 1846, 335, 0.18147345612134344, 0.008183252794171536], [""0"", 143, 27, 0.1888111888111888, 0.015520985484016897]]"
1917,260300_ECHO,q23_2026_Lr3r8,brand_funnel_ad,,9,1.8726,"[[""9"", 84, 39, 0.4642857142857143, 0.11115672322568876], [""10"", 86, 35, 0.4069767441860465, 0.05384775312602097], [""7"", 50, 15, 0.3, -0.053128991060025554], [""__MISSING__"", 1228, 423, 0.34446254071661236, -0.008666450343413179], [""6"", 20, 8, 0.4, 0.04687100893997448], [""8"", 88, 30, 0.3409090909090909, -0.01221990015093466]]"
1918,260111_Delta-Water-Filtration,q23r12,brand_funnel_ad,,3,1.8715,"[[""__MISSING__"", 116, 16, 0.13793103448275862, -0.119275173942962], [""1"", 240, 68, 0.2833333333333333, 0.02612712490761271], [""0"", 997, 264, 0.26479438314944836, 0.0075881747237277475]]"
1919,260206_OC-BH,q63r5,demographic_profile,,20,1.871,"[[""basilite"", 10, 0, 0.0, -0.1732902033271719], [""__MISSING__"", 2108, 374, 0.1774193548387097, 0.004129151511537782]]"
1920,260200_SBD,q26_Lr1,other,How likely would you be to consider purchasing a [pipe: BRAND2RATE] product in the Ebikes category?,9,1.8641,"[[""__MISSING__"", 773, 347, 0.4489003880983182, 0.004173577424874786]]"
1921,260206_OC-BH,q138r9,ownership_use_product,,2,1.8625,"[[""1"", 325, 79, 0.24307692307692308, 0.06978671974975117], [""0"", 1839, 296, 0.16095704187058185, -0.012333161456590053]]"
1922,260401_-OC-CAN,q41r1,demographic_profile,,6,1.8546,"[[""3"", 31, 17, 0.5483870967741935, 0.1648070160204923], [""4"", 117, 38, 0.3247863247863248, -0.058793755967376404], [""9"", 14, 3, 0.21428571428571427, -0.16929436646798693], [""2"", 10, 5, 0.5, 0.1164199192462988], [""__MISSING__"", 431, 170, 0.39443155452436196, 0.010851473770660758], [""5"", 140, 52, 0.37142857142857144, -0.012151509325129761]]"
