rank,field,family,question,unique_values,score,max_abs_lift,top_values_json
29,q23_2026_Lr13r11,brand_funnel,,10,29.2229,0.4161,"[[""9"", 65, 50, 0.7692307692307693, 0.41610177817074373], [""10"", 86, 56, 0.6511627906976745, 0.2980337996376489], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""8"", 75, 42, 0.56, 0.2068710089399745], [""7"", 41, 23, 0.5609756097560976, 0.20784661869607207]]"
30,q3r1,demographic_profile,,17,29.0014,0.4541,"[[""100"", 83, 67, 0.8072289156626506, 0.4540999246026251], [""55"", 26, 20, 0.7692307692307693, 0.41610177817074373], [""__MISSING__"", 1316, 402, 0.30547112462006076, -0.04765786643996478], [""60"", 45, 23, 0.5111111111111111, 0.15798212005108553], [""50"", 32, 14, 0.4375, 0.08437100893997446]]"
31,q23_2026_Lr13r14,brand_funnel,,9,28.8533,0.3822,"[[""9"", 68, 50, 0.7352941176470589, 0.38216512658703333], [""8"", 76, 52, 0.6842105263157895, 0.33108153525576395], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""10"", 77, 45, 0.5844155844155844, 0.23128659335555884], [""6"", 22, 12, 0.5454545454545454, 0.19232555439451987]]"
32,q3r2,demographic_profile,,17,28.8227,0.4469,"[[""0"", 85, 68, 0.8, 0.4468710089399745], [""25"", 46, 28, 0.6086956521739131, 0.25556666111388754], [""__MISSING__"", 1316, 402, 0.30547112462006076, -0.04765786643996478], [""10"", 18, 10, 0.5555555555555556, 0.20242656449553004], [""20"", 37, 16, 0.43243243243243246, 0.07930344137240691]]"
33,q19_2026r3,brand_funnel,,41,28.6764,0.4246,"[[""__MISSING__"", 778, 192, 0.2467866323907455, -0.10634235866928005], [""0"", 261, 118, 0.4521072796934866, 0.09897828863346103], [""5"", 105, 51, 0.4857142857142857, 0.13258529465426017], [""9"", 9, 7, 0.7777777777777778, 0.42464878671775225], [""10"", 140, 63, 0.45, 0.09687100893997447]]"
34,q23_2026_Lr13r15,brand_funnel,,10,28.5431,0.3382,"[[""9"", 81, 56, 0.691358024691358, 0.33822903363133244], [""8"", 78, 52, 0.6666666666666666, 0.3135376756066411], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""10"", 81, 45, 0.5555555555555556, 0.20242656449553004], [""7"", 31, 20, 0.6451612903225806, 0.2920322992625551]]"
35,q39_2026,demographic_profile,Which of the following best describes the area in which you live?,4,28.5289,0.2509,"[[""__MISSING__"", 250, 151, 0.604, 0.25087100893997444], [""1"", 288, 54, 0.1875, -0.16562899106002554], [""2"", 513, 139, 0.2709551656920078, -0.08217382536801776], [""3"", 515, 209, 0.4058252427184466, 0.05269625165842107]]"
36,q23_2026_Lr13r6,brand_funnel,,9,28.4373,0.4469,"[[""9"", 83, 56, 0.6746987951807228, 0.3215698041206973], [""8"", 68, 43, 0.6323529411764706, 0.279223950116445], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""10"", 82, 48, 0.5853658536585366, 0.232236862598511], [""6"", 15, 12, 0.8, 0.4468710089399745]]"
37,q17r4,brand_funnel,,122,28.1833,0.2698,"[[""Toro"", 25, 3, 0.12, -0.23312899106002555], [""__MISSING__"", 1295, 491, 0.37915057915057915, 0.026021588090553605], [""Stihl"", 12, 1, 0.08333333333333333, -0.26979565772669223], [""John Deere"", 9, 1, 0.1111111111111111, -0.24201787994891444], [""Craftsman"", 16, 3, 0.1875, -0.16562899106002554]]"
38,q23_2026_Lr13r12,brand_funnel,,10,28.06,0.341,"[[""9"", 85, 59, 0.6941176470588235, 0.34098865599879796], [""8"", 58, 40, 0.6896551724137931, 0.3365261813537676], [""10"", 80, 48, 0.6, 0.24687100893997443], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""7"", 39, 21, 0.5384615384615384, 0.1853325474015129]]"
39,q19_2026r9,brand_funnel,,49,28.0485,0.3969,"[[""__MISSING__"", 492, 123, 0.25, -0.10312899106002554], [""5"", 107, 55, 0.514018691588785, 0.16088970052875945], [""8"", 12, 9, 0.75, 0.39687100893997446], [""7"", 12, 9, 0.75, 0.39687100893997446], [""50"", 29, 4, 0.13793103448275862, -0.21519795657726692]]"
40,q23_2026_Lr13r9,brand_funnel,,9,27.5957,0.3455,"[[""8"", 73, 51, 0.6986301369863014, 0.34550114592627584], [""9"", 73, 49, 0.6712328767123288, 0.31810388565230324], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""10"", 73, 43, 0.589041095890411, 0.23591210483038544], [""7"", 41, 24, 0.5853658536585366, 0.232236862598511]]"
41,q23_2026_Lr13r7,brand_funnel,,10,27.5564,0.3438,"[[""8"", 69, 47, 0.6811594202898551, 0.32803042922982956], [""9"", 82, 50, 0.6097560975609756, 0.25662710650095005], [""10"", 80, 48, 0.6, 0.24687100893997443], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""7"", 33, 23, 0.696969696969697, 0.3438407059096715]]"
42,q41,demographic_profile,How long have you been working in your trade?,6,27.4901,0.4704,"[[""3"", 105, 72, 0.6857142857142857, 0.3325852946542602], [""2"", 34, 28, 0.8235294117647058, 0.4704004207046803], [""4"", 69, 42, 0.6086956521739131, 0.25556666111388754], [""__MISSING__"", 1316, 402, 0.30547112462006076, -0.04765786643996478], [""5"", 41, 9, 0.21951219512195122, -0.13361679593807432]]"
43,q23_2026_Lr13r10,brand_funnel,,10,27.428,0.3243,"[[""9"", 72, 48, 0.6666666666666666, 0.3135376756066411], [""8"", 80, 52, 0.65, 0.2968710089399745], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""10"", 84, 47, 0.5595238095238095, 0.206394818463784], [""7"", 31, 21, 0.6774193548387096, 0.3242903637786841]]"
44,q23_2026_Lr13r2,brand_funnel,,9,27.1984,0.3181,"[[""9"", 73, 49, 0.6712328767123288, 0.31810388565230324], [""8"", 63, 40, 0.6349206349206349, 0.28179164386060934], [""10"", 72, 44, 0.6111111111111112, 0.2579821200510856], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""7"", 48, 30, 0.625, 0.27187100893997446]]"
45,q23_2026_Lr13r13,brand_funnel,,9,26.7334,0.352,"[[""8"", 78, 55, 0.7051282051282052, 0.35199921406817963], [""9"", 88, 54, 0.6136363636363636, 0.2605073725763381], [""10"", 68, 42, 0.6176470588235294, 0.2645180677635039], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""7"", 30, 16, 0.5333333333333333, 0.18020434227330778]]"
46,q23_2026_Lr13r8,brand_funnel,,8,26.498,0.3311,"[[""8"", 76, 52, 0.6842105263157895, 0.33108153525576395], [""9"", 84, 51, 0.6071428571428571, 0.25401386608283155], [""__MISSING__"", 1275, 373, 0.29254901960784313, -0.06057997145218241], [""10"", 71, 42, 0.5915492957746479, 0.23842030471462233], [""7"", 39, 24, 0.6153846153846154, 0.2622556243245899]]"
