rank,field,family,question,unique_values,score,max_abs_lift,top_values_json
326,q21r3,channel_supplier,,4,3.416,0.1181,"[[""1"", 87, 41, 0.47126436781609193, 0.11813537675606639], [""3"", 81, 37, 0.4567901234567901, 0.10366113239676455], [""2"", 82, 37, 0.45121951219512196, 0.09809052113509642], [""__MISSING__"", 1316, 438, 0.33282674772036475, -0.020302243339660797]]"
327,q23_2026_Lr1r6,brand_funnel,,7,3.4035,0.2377,"[[""9"", 26, 3, 0.11538461538461539, -0.23774437567541015], [""10"", 30, 4, 0.13333333333333333, -0.2197956577266922], [""8"", 21, 5, 0.23809523809523808, -0.11503375296478746], [""__MISSING__"", 1474, 536, 0.36363636363636365, 0.010507372576338103]]"
328,q23_2026_Lr3r11,brand_funnel,,9,3.3323,0.2969,"[[""6"", 20, 13, 0.65, 0.2968710089399745], [""8"", 74, 31, 0.4189189189189189, 0.06578992785889337], [""5"", 12, 3, 0.25, -0.10312899106002554], [""7"", 52, 16, 0.3076923076923077, -0.045436683367717834], [""__MISSING__"", 1228, 423, 0.34446254071661236, -0.008666450343413179]]"
329,q15_2026r10,other,,9,3.3213,0.0662,"[[""10"", 582, 176, 0.3024054982817869, -0.05072349277823862], [""7"", 179, 73, 0.40782122905027934, 0.0546922379902538], [""8"", 336, 128, 0.38095238095238093, 0.027823389892355388], [""5"", 31, 13, 0.41935483870967744, 0.06622584764965189], [""9"", 378, 139, 0.36772486772486773, 0.014595876664842189]]"
330,q14r5,channel_supplier,,2,3.2705,0.0765,"[[""1"", 412, 177, 0.42961165048543687, 0.07648265942541133], [""0"", 1154, 376, 0.32582322357019067, -0.027305767489834876]]"
331,q23_2026_Lr7r4,brand_funnel,,11,3.267,0.1178,"[[""8"", 85, 21, 0.24705882352941178, -0.10607016753061377], [""__MISSING__"", 1243, 462, 0.37168141592920356, 0.01855242486917802], [""10"", 71, 20, 0.28169014084507044, -0.07143885021495511], [""5"", 17, 4, 0.23529411764705882, -0.11783487341296672], [""9"", 54, 17, 0.3148148148148148, -0.03831417624521072]]"
332,q11ar4c3,equipment_ownership_use,,2,3.2349,0.1434,"[[""1"", 143, 71, 0.4965034965034965, 0.14337450544347097], [""0"", 1423, 482, 0.3387210119465917, -0.014407979113433833]]"
333,q32_2026r4,switching_loyalty,,3,3.2188,0.1302,"[[""0"", 157, 35, 0.2229299363057325, -0.13019905475429305], [""__MISSING__"", 1326, 492, 0.37104072398190047, 0.017911732921874923], [""1"", 83, 26, 0.3132530120481928, -0.03987597901183276]]"
334,q20r9,brand_funnel,,3,3.2061,0.0782,"[[""0"", 291, 80, 0.27491408934707906, -0.07821490171294648], [""__MISSING__"", 975, 377, 0.38666666666666666, 0.033537675606641115], [""1"", 300, 96, 0.32, -0.03312899106002554]]"
335,q23_2026_Lr7r10,brand_funnel,,10,3.1868,0.1656,"[[""10"", 78, 18, 0.23076923076923078, -0.12235976029079476], [""7"", 48, 12, 0.25, -0.10312899106002554], [""5"", 16, 3, 0.1875, -0.16562899106002554], [""__MISSING__"", 1243, 462, 0.37168141592920356, 0.01855242486917802], [""8"", 79, 25, 0.31645569620253167, -0.03667329485749388]]"
336,conditionsOther_channel,fielding_technical,,2,3.1695,0.176,"[[""0"", 96, 17, 0.17708333333333334, -0.1760456577266922], [""1"", 1470, 536, 0.36462585034013606, 0.011496859280110516]]"
337,q23r18,other,,2,3.1689,0.0568,"[[""1"", 604, 179, 0.29635761589403975, -0.056771375165985793], [""0"", 962, 374, 0.3887733887733888, 0.03564439771336325]]"
338,q32_2026r2,switching_loyalty,,3,3.1651,0.1351,"[[""1"", 133, 29, 0.21804511278195488, -0.13508387827807067], [""__MISSING__"", 1326, 492, 0.37104072398190047, 0.017911732921874923], [""0"", 107, 32, 0.29906542056074764, -0.0540635704992779]]"
339,q32_2026r5,switching_loyalty,,3,3.1559,0.1371,"[[""1"", 125, 27, 0.216, -0.13712899106002555], [""__MISSING__"", 1326, 492, 0.37104072398190047, 0.017911732921874923], [""0"", 115, 34, 0.2956521739130435, -0.05747681714698205]]"
340,vbrowser,other,Browser,4,3.1268,0.1453,"[[""11"", 77, 16, 0.2077922077922078, -0.14533678326781774], [""13"", 174, 48, 0.27586206896551724, -0.0772669220945083], [""10"", 1288, 479, 0.3718944099378882, 0.01876541887786265], [""12"", 27, 10, 0.37037037037037035, 0.017241379310344807]]"
341,q31_2026r7,switching_loyalty,,3,3.1188,0.099,"[[""__MISSING__"", 240, 61, 0.25416666666666665, -0.09896232439335889], [""1"", 323, 129, 0.3993808049535604, 0.04625181389353483], [""0"", 1003, 363, 0.36191425722831505, 0.008785266168289507]]"
342,q23_2026_Lr1r13,brand_funnel,,8,3.1184,0.2016,"[[""10"", 33, 5, 0.15151515151515152, -0.20161383954487402], [""8"", 19, 3, 0.15789473684210525, -0.1952342542179203], [""9"", 24, 5, 0.20833333333333334, -0.1447956577266922], [""__MISSING__"", 1474, 536, 0.36363636363636365, 0.010507372576338103]]"
343,q19r6,other,,3,3.1157,0.0809,"[[""0"", 364, 158, 0.4340659340659341, 0.08093694300590853], [""__MISSING__"", 1023, 335, 0.32746823069403713, -0.02566076036598841], [""1"", 179, 60, 0.33519553072625696, -0.01793346033376858]]"
344,q11br10c4,equipment_ownership_use,,2,3.1024,0.1393,"[[""1"", 145, 31, 0.21379310344827587, -0.13933588761174967], [""0"", 1421, 522, 0.3673469387755102, 0.01421794771548468]]"
345,q23_2026_Lr7r2,brand_funnel,,9,3.0749,0.149,"[[""7"", 49, 10, 0.20408163265306123, -0.14904735840696431], [""10"", 70, 17, 0.24285714285714285, -0.11027184820288269], [""__MISSING__"", 1243, 462, 0.37168141592920356, 0.01855242486917802], [""6"", 21, 5, 0.23809523809523808, -0.11503375296478746], [""5"", 13, 3, 0.23076923076923078, -0.12235976029079476]]"
346,q23_2026_Lr9r3,brand_funnel,,8,3.0655,0.1448,"[[""10"", 62, 14, 0.22580645161290322, -0.12732253944712232], [""7"", 24, 5, 0.20833333333333334, -0.1447956577266922], [""9"", 30, 7, 0.23333333333333334, -0.1197956577266922], [""8"", 41, 17, 0.4146341463414634, 0.06150515528143785], [""__MISSING__"", 1400, 505, 0.3607142857142857, 0.007585294654260166]]"
347,q23_2026_Lr11r1,brand_funnel,,8,3.0612,0.3741,"[[""9"", 11, 8, 0.7272727272727273, 0.37414373621270175], [""7"", 18, 10, 0.5555555555555556, 0.20242656449553004], [""10"", 19, 6, 0.3157894736842105, -0.037339517375815034], [""__MISSING__"", 1495, 522, 0.3491638795986622, -0.003965111461363358], [""6"", 9, 3, 0.3333333333333333, -0.01979565772669223]]"
348,q31_2026r1,switching_loyalty,,3,3.0567,0.099,"[[""__MISSING__"", 240, 61, 0.25416666666666665, -0.09896232439335889], [""0"", 745, 286, 0.3838926174496644, 0.030763626389638865], [""1"", 581, 206, 0.35456110154905335, 0.0014321104890278047]]"
349,q23_2026_Lr2r4,brand_funnel,,10,3.0507,0.2698,"[[""6"", 12, 1, 0.08333333333333333, -0.26979565772669223], [""7"", 28, 5, 0.17857142857142858, -0.17455756248859697], [""8"", 39, 17, 0.4358974358974359, 0.08276844483741036], [""10"", 58, 17, 0.29310344827586204, -0.0600255427841635], [""__MISSING__"", 1376, 499, 0.3626453488372093, 0.009516357777183737]]"
350,q23_2026_Lr7r8,brand_funnel,,9,3.0393,0.1175,"[[""8"", 92, 23, 0.25, -0.10312899106002554], [""10"", 84, 23, 0.27380952380952384, -0.07931946725050171], [""__MISSING__"", 1243, 462, 0.37168141592920356, 0.01855242486917802], [""9"", 68, 19, 0.27941176470588236, -0.07371722635414318], [""6"", 17, 8, 0.47058823529411764, 0.1174592442340921]]"
351,q23_2026_Lr2r11,brand_funnel,,7,3.0361,0.1206,"[[""9"", 43, 10, 0.23255813953488372, -0.12057085152514183], [""10"", 74, 20, 0.2702702702702703, -0.08285872078975526], [""7"", 20, 5, 0.25, -0.10312899106002554], [""__MISSING__"", 1376, 499, 0.3626453488372093, 0.009516357777183737], [""8"", 43, 15, 0.3488372093023256, -0.004291781757699953]]"
352,q10r3,other,,3,3.0026,0.09,"[[""3"", 228, 60, 0.2631578947368421, -0.08997109632318345], [""2"", 606, 240, 0.39603960396039606, 0.042910612900370515], [""1"", 732, 253, 0.34562841530054644, -0.0075005757594791]]"
353,q23_2026_Lr7r15,brand_funnel,,9,2.9971,0.1224,"[[""10"", 82, 19, 0.23170731707317074, -0.1214216739868548], [""8"", 94, 26, 0.2765957446808511, -0.07653324637917447], [""__MISSING__"", 1243, 462, 0.37168141592920356, 0.01855242486917802], [""5"", 13, 3, 0.23076923076923078, -0.12235976029079476], [""6"", 11, 3, 0.2727272727272727, -0.08040171833275284]]"
354,q11ar10c1,equipment_ownership_use,,2,2.9816,0.0564,"[[""1"", 586, 240, 0.40955631399317405, 0.056427322933148505], [""0"", 980, 313, 0.3193877551020408, -0.03374123595798473]]"
355,q31_2026r2,switching_loyalty,,3,2.9631,0.099,"[[""__MISSING__"", 240, 61, 0.25416666666666665, -0.09896232439335889], [""0"", 766, 292, 0.381201044386423, 0.02807205332639745], [""1"", 560, 200, 0.35714285714285715, 0.0040138660828316075]]"
356,q32_2026r6,switching_loyalty,,3,2.9586,0.1161,"[[""0"", 173, 41, 0.23699421965317918, -0.11613477140684636], [""__MISSING__"", 1326, 492, 0.37104072398190047, 0.017911732921874923], [""1"", 67, 20, 0.29850746268656714, -0.054621528373458406]]"
357,q23_2026_Lr2r5,brand_funnel,,9,2.9401,0.1066,"[[""10"", 73, 18, 0.2465753424657534, -0.10655364859427213], [""8"", 51, 14, 0.27450980392156865, -0.07861918713845689], [""__MISSING__"", 1376, 499, 0.3626453488372093, 0.009516357777183737], [""9"", 35, 11, 0.3142857142857143, -0.038843276774311264], [""7"", 23, 9, 0.391304347826087, 0.03817535676606143]]"
358,q31_2026r8,switching_loyalty,,3,2.9388,0.099,"[[""__MISSING__"", 240, 61, 0.25416666666666665, -0.09896232439335889], [""1"", 312, 122, 0.391025641025641, 0.03789664996561548], [""0"", 1014, 370, 0.36489151873767256, 0.011762527677647017]]"
359,q23_2026_Lr9r4,brand_funnel,,9,2.9341,0.1707,"[[""7"", 21, 11, 0.5238095238095238, 0.1706805327494983], [""10"", 42, 10, 0.23809523809523808, -0.11503375296478746], [""8"", 33, 8, 0.24242424242424243, -0.11070474863578311], [""9"", 42, 12, 0.2857142857142857, -0.06741470534573984], [""6"", 15, 4, 0.26666666666666666, -0.08646232439335888]]"
360,q23_2026_Lr17r9,brand_funnel,,9,2.934,0.0027,"[[""__MISSING__"", 1538, 539, 0.3504551365409623, -0.002673854519063268]]"
361,q23_2026_Lr7r5,brand_funnel,,9,2.933,0.1031,"[[""8"", 88, 22, 0.25, -0.10312899106002554], [""10"", 75, 19, 0.25333333333333335, -0.09979565772669219], [""__MISSING__"", 1243, 462, 0.37168141592920356, 0.01855242486917802], [""7"", 45, 13, 0.28888888888888886, -0.06424010217113668], [""9"", 82, 28, 0.34146341463414637, -0.011665576425879176]]"
362,q24r4,other,,2,2.9202,0.0645,"[[""1"", 485, 140, 0.28865979381443296, -0.06446919724559258], [""0"", 1081, 413, 0.3820536540240518, 0.028924662964026238]]"
363,POSSIBLEBRANDSr10,brand_funnel,,3,2.9084,0.1388,"[[""1"", 689, 275, 0.3991291727140784, 0.04600018165405284], [""0"", 849, 272, 0.32037691401649, -0.032752077043535555], [""__MISSING__"", 28, 6, 0.21428571428571427, -0.13884327677431127]]"
364,q20r5,brand_funnel,,3,2.9006,0.0749,"[[""0"", 381, 106, 0.2782152230971129, -0.07491376796291266], [""1"", 247, 97, 0.39271255060728744, 0.03958355954726189], [""__MISSING__"", 938, 350, 0.373134328358209, 0.020005337298183434]]"
365,q32_2026r7,switching_loyalty,,3,2.8961,0.1531,"[[""0"", 205, 54, 0.2634146341463415, -0.08971435691368407], [""1"", 35, 7, 0.2, -0.15312899106002553], [""__MISSING__"", 1326, 492, 0.37104072398190047, 0.017911732921874923]]"
366,q23_2026_Lr5r6,brand_funnel,,7,2.8818,0.2622,"[[""9"", 20, 3, 0.15, -0.20312899106002555], [""7"", 11, 1, 0.09090909090909091, -0.26221990015093466], [""10"", 10, 1, 0.1, -0.2531289910600255], [""8"", 19, 9, 0.47368421052631576, 0.12055521946629022], [""__MISSING__"", 1499, 538, 0.3589059372915277, 0.005776946231502156]]"
367,q23_2026_Lr5r7,brand_funnel,,9,2.8808,0.2762,"[[""7"", 13, 1, 0.07692307692307693, -0.2762059141369486], [""9"", 20, 4, 0.2, -0.15312899106002553], [""8"", 14, 3, 0.21428571428571427, -0.13884327677431127], [""10"", 12, 3, 0.25, -0.10312899106002554], [""__MISSING__"", 1499, 538, 0.3589059372915277, 0.005776946231502156]]"
368,q32_2026r1,switching_loyalty,,3,2.8792,0.1097,"[[""1"", 189, 46, 0.24338624338624337, -0.10974274767378217], [""__MISSING__"", 1326, 492, 0.37104072398190047, 0.017911732921874923], [""0"", 51, 15, 0.29411764705882354, -0.059011344001202004]]"
369,q11br1c4,equipment_ownership_use,,2,2.8713,0.1091,"[[""1"", 209, 51, 0.24401913875598086, -0.10910985230404469], [""0"", 1357, 502, 0.369933677229182, 0.01680468616915648]]"
370,q23_2026_Lr7r6,brand_funnel,,10,2.8632,0.1679,"[[""6"", 27, 5, 0.18518518518518517, -0.16794380587484037], [""10"", 80, 21, 0.2625, -0.09062899106002553], [""__MISSING__"", 1243, 462, 0.37168141592920356, 0.01855242486917802], [""7"", 36, 9, 0.25, -0.10312899106002554], [""8"", 76, 23, 0.3026315789473684, -0.050497412112657125]]"
371,q23_2026_Lr6r14,brand_funnel,,9,2.8454,0.1713,"[[""10"", 83, 21, 0.25301204819277107, -0.10011694286725448], [""9"", 83, 37, 0.4457831325301205, 0.09265414147009493], [""8"", 74, 21, 0.28378378378378377, -0.06934520727624177], [""6"", 11, 2, 0.18181818181818182, -0.17131080924184372], [""5"", 10, 2, 0.2, -0.15312899106002553]]"
372,q31_2026r13,switching_loyalty,,3,2.8271,0.099,"[[""__MISSING__"", 240, 61, 0.25416666666666665, -0.09896232439335889], [""0"", 1319, 490, 0.37149355572403336, 0.01836456466400782]]"
373,q23_2026_Lr5r1,brand_funnel,,8,2.8076,0.2622,"[[""8"", 22, 2, 0.09090909090909091, -0.26221990015093466], [""10"", 8, 1, 0.125, -0.22812899106002554], [""9"", 15, 3, 0.2, -0.15312899106002553], [""__MISSING__"", 1499, 538, 0.3589059372915277, 0.005776946231502156], [""7"", 13, 5, 0.38461538461538464, 0.03148639355535909]]"
374,q23_2026_Lr17r15,brand_funnel,,7,2.8067,0.2719,"[[""10"", 8, 5, 0.625, 0.27187100893997446], [""8"", 10, 3, 0.3, -0.053128991060025554], [""__MISSING__"", 1538, 539, 0.3504551365409623, -0.002673854519063268]]"
375,q23r1,other,,2,2.8064,0.0565,"[[""1"", 563, 167, 0.2966252220248668, -0.056503769035158746], [""0"", 1003, 386, 0.3848454636091725, 0.031716472549146946]]"
376,q31_2026r3,switching_loyalty,,3,2.8037,0.099,"[[""__MISSING__"", 240, 61, 0.25416666666666665, -0.09896232439335889], [""1"", 488, 184, 0.3770491803278688, 0.023920189267843284], [""0"", 838, 308, 0.36754176610978523, 0.014412775049759685]]"
377,q31_2026r11,switching_loyalty,,3,2.7995,0.099,"[[""__MISSING__"", 240, 61, 0.25416666666666665, -0.09896232439335889], [""0"", 1214, 452, 0.3723228995057661, 0.019193908445740537], [""1"", 112, 40, 0.35714285714285715, 0.0040138660828316075]]"
378,q23_2026_Lr9r13,brand_funnel,,8,2.7942,0.1899,"[[""9"", 49, 8, 0.16326530612244897, -0.18986368493757658], [""7"", 19, 9, 0.47368421052631576, 0.12055521946629022], [""10"", 51, 15, 0.29411764705882354, -0.059011344001202004], [""__MISSING__"", 1400, 505, 0.3607142857142857, 0.007585294654260166], [""6"", 11, 3, 0.2727272727272727, -0.08040171833275284]]"
379,q21b_2026r5,channel_supplier,,2,2.7857,0.081,"[[""1"", 334, 145, 0.4341317365269461, 0.08100274546692054], [""0"", 1232, 408, 0.33116883116883117, -0.021960159891194375]]"
380,q1r16,other,,2,2.7839,0.0501,"[[""1"", 650, 197, 0.3030769230769231, -0.050052067983102466], [""0"", 916, 356, 0.388646288209607, 0.03551729714958146]]"
381,q23_2026_Lr6r12,brand_funnel,,10,2.7831,0.1608,"[[""6"", 26, 5, 0.19230769230769232, -0.16082129875233322], [""10"", 67, 19, 0.2835820895522388, -0.06954690150778675], [""9"", 64, 27, 0.421875, 0.06874600893997446], [""5"", 15, 7, 0.4666666666666667, 0.11353767560664113], [""8"", 79, 24, 0.3037974683544304, -0.049331522705595154]]"
382,q23_2026_Lr17r8,brand_funnel,,7,2.7817,0.3135,"[[""10"", 9, 6, 0.6666666666666666, 0.3135376756066411], [""8"", 8, 2, 0.25, -0.10312899106002554], [""__MISSING__"", 1538, 539, 0.3504551365409623, -0.002673854519063268]]"
383,q32_2026r8,switching_loyalty,,3,2.7769,0.1003,"[[""0"", 174, 44, 0.25287356321839083, -0.10025542784163471], [""1"", 66, 17, 0.25757575757575757, -0.09555323348426797], [""__MISSING__"", 1326, 492, 0.37104072398190047, 0.017911732921874923]]"
384,q32_2026r9,switching_loyalty,,3,2.7759,0.0989,"[[""0"", 236, 60, 0.2542372881355932, -0.09889170292443233], [""__MISSING__"", 1326, 492, 0.37104072398190047, 0.017911732921874923]]"
385,q20r1,brand_funnel,,3,2.7391,0.0829,"[[""1"", 259, 70, 0.2702702702702703, -0.08285872078975526], [""__MISSING__"", 1055, 401, 0.3800947867298578, 0.02696579566983226], [""0"", 252, 82, 0.3253968253968254, -0.027732165663200137]]"
386,q23_2026_Lr5r4,brand_funnel,,9,2.7024,0.2281,"[[""8"", 13, 2, 0.15384615384615385, -0.1992828372138717], [""10"", 8, 1, 0.125, -0.22812899106002554], [""7"", 14, 3, 0.21428571428571427, -0.13884327677431127], [""9"", 19, 5, 0.2631578947368421, -0.08997109632318345], [""6"", 8, 2, 0.25, -0.10312899106002554]]"
387,q23_2026_Lr6r10,brand_funnel,,10,2.6859,0.2024,"[[""6"", 18, 10, 0.5555555555555556, 0.20242656449553004], [""10"", 84, 24, 0.2857142857142857, -0.06741470534573984], [""7"", 42, 11, 0.2619047619047619, -0.09122422915526363], [""5"", 9, 4, 0.4444444444444444, 0.09131545338441888], [""__MISSING__"", 1254, 451, 0.35964912280701755, 0.006520131746992008]]"
388,q21b_2026r6oe,channel_supplier,,19,2.6841,0.0037,"[[""__MISSING__"", 1547, 552, 0.356819650937298, 0.003690659877272462]]"
389,POSSIBLEBRANDSr9,brand_funnel,,3,2.67,0.1388,"[[""1"", 752, 296, 0.39361702127659576, 0.040488030216570214], [""0"", 786, 251, 0.3193384223918575, -0.03379056866816804], [""__MISSING__"", 28, 6, 0.21428571428571427, -0.13884327677431127]]"
390,q23_2026_Lr3r4,brand_funnel,,10,2.65,0.242,"[[""5"", 18, 2, 0.1111111111111111, -0.24201787994891444], [""10"", 78, 34, 0.4358974358974359, 0.08276844483741036], [""8"", 72, 30, 0.4166666666666667, 0.06353767560664114], [""9"", 80, 33, 0.4125, 0.059371008939974435], [""__MISSING__"", 1228, 423, 0.34446254071661236, -0.008666450343413179]]"
391,q23_2026_Lr14r2,brand_funnel,,6,2.6443,0.0022,"[[""__MISSING__"", 1556, 546, 0.3508997429305913, -0.002229248129434258]]"
392,q23_2026_Lr10r11,brand_funnel,,9,2.6348,0.1175,"[[""9"", 85, 40, 0.47058823529411764, 0.1174592442340921], [""10"", 117, 34, 0.2905982905982906, -0.06253070046173492], [""8"", 78, 23, 0.2948717948717949, -0.058257196188230664], [""7"", 35, 11, 0.3142857142857143, -0.038843276774311264], [""__MISSING__"", 1225, 436, 0.35591836734693877, 0.0027893762869132255]]"
393,q23_2026_Lr17r3,brand_funnel,,7,2.6309,0.3969,"[[""9"", 8, 6, 0.75, 0.39687100893997446], [""8"", 9, 2, 0.2222222222222222, -0.13090676883780333], [""__MISSING__"", 1538, 539, 0.3504551365409623, -0.002673854519063268]]"
394,q21r1,channel_supplier,,4,2.6267,0.0815,"[[""3"", 162, 44, 0.2716049382716049, -0.08152405278842062], [""__MISSING__"", 928, 355, 0.38254310344827586, 0.029414112388250313], [""2"", 214, 63, 0.29439252336448596, -0.058736467695539585], [""1"", 262, 91, 0.3473282442748092, -0.00580074678521636]]"
395,REGION,quota_classification,REGION,4,2.6197,0.0585,"[[""4"", 328, 135, 0.4115853658536585, 0.05845637479363297], [""3"", 373, 114, 0.30563002680965146, -0.04749896425037409], [""1"", 288, 90, 0.3125, -0.04062899106002554], [""2"", 577, 214, 0.3708838821490468, 0.01775489108902123]]"
396,q11br9c2,equipment_ownership_use,,2,2.6158,0.0438,"[[""1"", 728, 289, 0.39697802197802196, 0.04384903091799641], [""0"", 838, 264, 0.315035799522673, -0.03809319153735252]]"
397,q20r3,brand_funnel,,3,2.6043,0.0781,"[[""0"", 320, 88, 0.275, -0.07812899106002552], [""__MISSING__"", 1012, 383, 0.3784584980237154, 0.025329506963689852], [""1"", 234, 82, 0.3504273504273504, -0.0027016406326751397]]"
398,q19r10,other,,3,2.6036,0.0469,"[[""__MISSING__"", 877, 278, 0.3169897377423033, -0.03613925331772222], [""0"", 469, 187, 0.39872068230277186, 0.04559169124274631], [""1"", 220, 88, 0.4, 0.04687100893997448]]"
399,q23_2026_Lr2r3,brand_funnel,,7,2.5915,0.1531,"[[""10"", 87, 21, 0.2413793103448276, -0.11174968071519795], [""9"", 40, 8, 0.2, -0.15312899106002553], [""8"", 40, 18, 0.45, 0.09687100893997447], [""__MISSING__"", 1376, 499, 0.3626453488372093, 0.009516357777183737], [""7"", 14, 4, 0.2857142857142857, -0.06741470534573984]]"
400,q23_2026_Lr5r14,brand_funnel,,8,2.5867,0.2479,"[[""8"", 19, 2, 0.10526315789473684, -0.2478658331652887], [""7"", 17, 3, 0.17647058823529413, -0.17665840282473141], [""10"", 12, 3, 0.25, -0.10312899106002554], [""__MISSING__"", 1499, 538, 0.3589059372915277, 0.005776946231502156], [""9"", 14, 5, 0.35714285714285715, 0.0040138660828316075]]"
401,q23_2026_Lr10r2,brand_funnel,,10,2.5724,0.1531,"[[""9"", 65, 31, 0.47692307692307695, 0.1237940858630514], [""6"", 25, 5, 0.2, -0.15312899106002553], [""8"", 82, 24, 0.2926829268292683, -0.06044606423075727], [""7"", 58, 19, 0.3275862068965517, -0.02554278416347383], [""10"", 85, 31, 0.36470588235294116, 0.011576891292915614]]"
402,q23_2026_Lr17r13,brand_funnel,,8,2.5594,0.3969,"[[""10"", 8, 6, 0.75, 0.39687100893997446], [""8"", 9, 4, 0.4444444444444444, 0.09131545338441888], [""__MISSING__"", 1538, 539, 0.3504551365409623, -0.002673854519063268]]"
403,q23_2026_Lr10r10,brand_funnel,,9,2.5531,0.3135,"[[""5"", 9, 6, 0.6666666666666666, 0.3135376756066411], [""7"", 40, 10, 0.25, -0.10312899106002554], [""8"", 81, 23, 0.2839506172839506, -0.06917837377607494], [""9"", 80, 33, 0.4125, 0.059371008939974435], [""10"", 109, 37, 0.3394495412844037, -0.013679449775621855]]"
404,q21d_2026r13,channel_supplier,,2,2.5518,0.0523,"[[""13"", 585, 176, 0.30085470085470084, -0.0522742902053247], [""0"", 981, 377, 0.3843017329255861, 0.03117274186556057]]"
405,q20r6,brand_funnel,,3,2.5511,0.0862,"[[""1"", 281, 75, 0.2669039145907473, -0.08622507646927824], [""__MISSING__"", 981, 366, 0.3730886850152905, 0.01995969395526498], [""0"", 304, 112, 0.3684210526315789, 0.015292061571553384]]"
406,q20r10,brand_funnel,,3,2.5424,0.0628,"[[""1"", 279, 81, 0.2903225806451613, -0.06280641041486423], [""__MISSING__"", 968, 372, 0.384297520661157, 0.03116852960113148], [""0"", 319, 100, 0.31347962382445144, -0.03964936723557411]]"
407,q11br1c2,equipment_ownership_use,,2,2.5299,0.0418,"[[""1"", 752, 297, 0.3949468085106383, 0.04181781745061275], [""0"", 814, 256, 0.3144963144963145, -0.038632676563711055]]"
408,q11ar10c2,equipment_ownership_use,,2,2.5095,0.0413,"[[""1"", 758, 299, 0.3944591029023747, 0.04133011184234914], [""0"", 808, 254, 0.31435643564356436, -0.038772555416461185]]"
409,q23_2026_Lr5r5,brand_funnel,,6,2.4841,0.2479,"[[""8"", 19, 2, 0.10526315789473684, -0.2478658331652887], [""7"", 15, 2, 0.13333333333333333, -0.2197956577266922], [""10"", 12, 2, 0.16666666666666666, -0.18646232439335889], [""9"", 16, 7, 0.4375, 0.08437100893997446], [""__MISSING__"", 1499, 538, 0.3589059372915277, 0.005776946231502156]]"
410,q23_2026_Lr11r5,brand_funnel,,7,2.4655,0.3135,"[[""7"", 12, 8, 0.6666666666666666, 0.3135376756066411], [""8"", 21, 11, 0.5238095238095238, 0.1706805327494983], [""9"", 13, 3, 0.23076923076923078, -0.12235976029079476], [""10"", 19, 6, 0.3157894736842105, -0.037339517375815034], [""__MISSING__"", 1495, 522, 0.3491638795986622, -0.003965111461363358]]"
411,q23_2026_Lr11r15,brand_funnel,,7,2.4634,0.2183,"[[""10"", 21, 12, 0.5714285714285714, 0.21829958036854585], [""8"", 17, 4, 0.23529411764705882, -0.11783487341296672], [""9"", 22, 9, 0.4090909090909091, 0.05596191803088357], [""__MISSING__"", 1495, 522, 0.3491638795986622, -0.003965111461363358]]"
412,q23_2026_Lr11r13,brand_funnel,,7,2.4515,0.3135,"[[""7"", 12, 8, 0.6666666666666666, 0.3135376756066411], [""10"", 16, 9, 0.5625, 0.20937100893997446], [""8"", 24, 7, 0.2916666666666667, -0.06146232439335886], [""9"", 13, 4, 0.3076923076923077, -0.045436683367717834], [""__MISSING__"", 1495, 522, 0.3491638795986622, -0.003965111461363358]]"
413,q23_2026_Lr17r1,brand_funnel,,9,2.4428,0.4246,"[[""10"", 9, 7, 0.7777777777777778, 0.42464878671775225], [""__MISSING__"", 1538, 539, 0.3504551365409623, -0.002673854519063268]]"
414,q21b_2026r15oe,channel_supplier,,14,2.4213,0.0006,"[[""__MISSING__"", 1552, 549, 0.3537371134020619, 0.0006081223420363324]]"
415,q23_2026_Lr11r3,brand_funnel,,7,2.4091,0.1923,"[[""7"", 11, 6, 0.5454545454545454, 0.19232555439451987], [""10"", 18, 8, 0.4444444444444444, 0.09131545338441888], [""9"", 12, 3, 0.25, -0.10312899106002554], [""__MISSING__"", 1495, 522, 0.3491638795986622, -0.003965111461363358], [""8"", 21, 8, 0.38095238095238093, 0.027823389892355388]]"
416,q15_2026r12,other,,10,2.3893,0.0945,"[[""5"", 58, 15, 0.25862068965517243, -0.09450830140485311], [""8"", 369, 144, 0.3902439024390244, 0.03711491137899886], [""9"", 358, 120, 0.33519553072625696, -0.01793346033376858], [""6"", 90, 30, 0.3333333333333333, -0.01979565772669223], [""10"", 476, 166, 0.3487394957983193, -0.004389495261706233]]"
417,q23_2026_Lr17r6,brand_funnel,,7,2.3721,0.0531,"[[""8"", 10, 3, 0.3, -0.053128991060025554], [""__MISSING__"", 1538, 539, 0.3504551365409623, -0.002673854519063268]]"
418,q23_2026_Lr17r7,brand_funnel,,6,2.365,0.3969,"[[""10"", 8, 6, 0.75, 0.39687100893997446], [""__MISSING__"", 1538, 539, 0.3504551365409623, -0.002673854519063268], [""8"", 8, 3, 0.375, 0.021871008939974457], [""9"", 8, 3, 0.375, 0.021871008939974457]]"
419,q11br12c2,equipment_ownership_use,,2,2.3638,0.0419,"[[""1"", 724, 286, 0.39502762430939226, 0.04189863324936671], [""0"", 842, 267, 0.3171021377672209, -0.03602685329280464]]"
